"Species","Genus","Family","Envelope","Genome","Discovery.year","Vector","Inhalation","Ingestion","Sexual","Iatrogenic..inc..blood.","Fomites","Broken.Skin","Maternal","Direct.Contact","Transmission.level","Person.to.person","Host.range","Human.only","Non.human.primate","Other.mammals","Birds","Reptiles","Fish"
"Severe acute respiratory syndrome-related coronavirus","Betacoronavirus","Coronaviridae",1,"(+)ssRNA",2003,"0","1","0","0","0","0","0","0","0","4a","1","broad","0","0","1","0","0","0"
"Human torovirus","Torovirus","Coronaviridae",1,"(+)ssRNA",1984,"0","0","1","0","0","0","0","0","0","4b","1","narrow","1","0","0","0","0","0"
"Bundibugyo ebolavirus","Ebolavirus","Filoviridae",1,"(-)ssRNA",2008,"0","0","0","0","0","0","1","0","1","3","1","broad","0","0","1","0","0","0"
"Reston ebolavirus ","Ebolavirus","Filoviridae",1,"(-)ssRNA",1991,"0","0","0","0","0","0","1","0","1","2","0","broad","0","1","1","0","0","0"
"Sudan ebolavirus ","Ebolavirus","Filoviridae",1,"(-)ssRNA",1977,"0","0","0","0","0","1","1","0","1","3","1","broad","0","1","1","0","0","0"
"Tai forest ebolavirus","Ebolavirus","Filoviridae",1,"(-)ssRNA",1995,"0","0","0","0","0","1","1","0","1","2","0","broad","0","1","1","0","0","0"
"Zaire ebolavirus","Ebolavirus","Filoviridae",1,"(-)ssRNA",1977,"0","0","0","1","0","1","1","1","1","4a","1","broad","0","1","1","0","0","0"
"Marburg marburgvirus","Marburgvirus","Filoviridae",1,"(-)ssRNA",1968,"0","0","0","1","0","1","1","1","1","3","1","broad","0","1","1","0","0","0"
"Aroa virus","Flavivirus","Flaviviridae",1,"(+)ssRNA",1971,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","1","0","0","0"
"Bagaza virus","Flavivirus","Flaviviridae",1,"(+)ssRNA",2009,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","0","1","0","0"
"Banzi virus ","Flavivirus","Flaviviridae",1,"(+)ssRNA",1959,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","1","0","0","0"
"Cacipacore virus","Flavivirus","Flaviviridae",1,"(+)ssRNA",2011,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","1","1","0","0"
"Dengue virus ","Flavivirus","Flaviviridae",1,"(+)ssRNA",1907,"1","0","0","0","0","0","0","1","0","4a","1","narrow","0","1","0","0","0","0"
"Edge Hill virus","Flavivirus","Flaviviridae",1,"(+)ssRNA",1985,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","1","0","0","0"
"Gadgets Gully virus","Flavivirus","Flaviviridae",1,"(+)ssRNA",1991,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","0","1","0","0"
"Ilheus virus ","Flavivirus","Flaviviridae",1,"(+)ssRNA",1947,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","1","1","0","0"
"Japanese encephalitis virus ","Flavivirus","Flaviviridae",1,"(+)ssRNA",1933,"1","0","0","0","0","0","0","1","0","3","1","broad","0","1","1","1","1","0"
"Kokobera virus ","Flavivirus","Flaviviridae",1,"(+)ssRNA",1985,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","1","0","0","0"
"Kyasanur forest disease virus ","Flavivirus","Flaviviridae",1,"(+)ssRNA",1957,"1","0","0","0","0","0","0","0","0","2","0","broad","0","1","1","0","0","0"
"Langat virus","Flavivirus","Flaviviridae",1,"(+)ssRNA",1956,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","1","0","0","0"
"Louping ill virus ","Flavivirus","Flaviviridae",1,"(+)ssRNA",1934,"1","0","0","0","0","0","1","0","1","2","0","broad","0","0","1","1","0","0"
"Murray Valley encephalitis virus ","Flavivirus","Flaviviridae",1,"(+)ssRNA",1952,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","1","1","0","0"
"Ntaya virus","Flavivirus","Flaviviridae",1,"(+)ssRNA",1952,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","1","1","0","0"
"Omsk hemorrhagic fever virus ","Flavivirus","Flaviviridae",1,"(+)ssRNA",1947,"1","1","0","0","0","0","0","0","0","2","0","broad","0","0","1","0","0","0"
"Powassan virus ","Flavivirus","Flaviviridae",1,"(+)ssRNA",1959,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","1","1","1","0"
"Rio Bravo virus ","Flavivirus","Flaviviridae",1,"(+)ssRNA",1962,"0","1","0","0","0","0","0","0","0","2","0","broad","0","0","1","0","0","0"
"St. Louis encephalitis virus ","Flavivirus","Flaviviridae",1,"(+)ssRNA",1933,"1","0","0","0","0","0","0","0","0","2","0","broad","0","1","1","1","1","0"
"Tembusu virus","Flavivirus","Flaviviridae",1,"(+)ssRNA",1975,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","0","1","0","0"
"Tick-borne encephalitis virus ","Flavivirus","Flaviviridae",1,"(+)ssRNA",1938,"1","0","0","0","0","0","0","0","0","2","0","broad","0","1","1","1","0","0"
"Uganda S virus","Flavivirus","Flaviviridae",1,"(+)ssRNA",1952,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","1","0","0","0"
"Usutu virus","Flavivirus","Flaviviridae",1,"(+)ssRNA",2009,"1","0","0","0","1","0","0","0","0","3","1","broad","0","0","1","1","0","0"
"Wesselsbron virus ","Flavivirus","Flaviviridae",1,"(+)ssRNA",1957,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","1","0","0","0"
"West Nile virus ","Flavivirus","Flaviviridae",1,"(+)ssRNA",1940,"1","0","0","0","0","0","0","1","0","3","1","broad","0","1","1","1","1","0"
"Yellow fever virus ","Flavivirus","Flaviviridae",1,"(+)ssRNA",1901,"1","0","0","0","0","0","0","0","0","4a","1","broad","0","1","1","0","0","0"
"Zika virus ","Flavivirus","Flaviviridae",1,"(+)ssRNA",1954,"1","0","0","1","0","0","0","1","0","4a","1","broad","0","1","1","0","0","0"
"Hepacivirus C","Hepacivirus","Flaviviridae",1,"(+)ssRNA",1989,"0","0","0","1","1","0","1","1","1","4b","1","narrow","1","0","0","0","0","0"
"Pegivirus A","Pegivirus","Flaviviridae",1,"(+)ssRNA",1995,"0","0","0","1","1","0","0","1","1","4b","1","narrow","1","0","0","0","0","0"
"Bovine viral diarrhea virus 1","Pestivirus","Flaviviridae",1,"(+)ssRNA",1988,"0","1*","0","0","0","1*","0","0","1*","2","0","broad","0","0","1","0","0","0"
"Influenza A virus","Influenzavirus A","Orthomyxoviridae",1,"(-)ssRNA",1933,"0","1","0","0","0","0","0","1","1","4a","1","broad","0","1","1","1","0","0"
"Influenza B virus ","Influenzavirus B","Orthomyxoviridae",1,"(-)ssRNA",1940,"0","1","0","0","0","0","0","0","1","4a","1","broad","0","0","1","0","0","0"
"Influenza C virus  ","Influenzavirus C","Orthomyxoviridae",1,"(-)ssRNA",1950,"0","1","0","0","0","0","0","0","1","4a","1","broad","0","0","1","0","0","0"
"Dhori virus","Thogotovirus","Orthomyxoviridae",1,"(-)ssRNA",1985,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","1","1","0","0"
"Thogoto virus ","Thogotovirus","Orthomyxoviridae",1,"(-)ssRNA",1969,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","1","0","0","0"
"Avian avulavirus 1 ","Avulavirus","Paramyxoviridae",1,"(-)ssRNA",1943,"0","0","1","0","0","1","0","0","1","2","0","broad","0","0","0","1","0","0"
"Hendra henipavirus ","Henipavirus","Paramyxoviridae",1,"(-)ssRNA",1995,"0","0","0","0","0","0","0","0","1","2","0","broad","0","0","1","0","0","0"
"Nipah henipavirus ","Henipavirus","Paramyxoviridae",1,"(-)ssRNA",1999,"0","1","1","0","0","0","0","0","1","3","1","broad","0","0","1","0","0","0"
"Canine morbillivirus","Morbillivirus","Paramyxoviridae",1,"(-)ssRNA",1955,"0","1*","0","0","0","1","0","0","1*","2","0","broad","0","1","1","0","0","0"
"Measles morbillivirus ","Morbillivirus","Paramyxoviridae",1,"(-)ssRNA",1911,"0","1","0","0","0","0","0","1","1","4a","1","narrow","0","1","0","0","0","0"
"Human respirovirus 1 ","Respirovirus","Paramyxoviridae",1,"(-)ssRNA",1958,"0","1","0","0","0","0","0","0","0","4a","1","narrow","0","1","0","0","0","0"
"Human respirovirus 3 ","Respirovirus","Paramyxoviridae",1,"(-)ssRNA",1958,"0","1","0","0","0","0","0","0","0","4a","1","narrow","0","1","0","0","0","0"
"Human rubulavirus 2 ","Rubulavirus","Paramyxoviridae",1,"(-)ssRNA",1956,"0","1","0","0","0","0","0","0","0","4a","1","narrow","0","1","0","0","0","0"
"Human rubulavirus 4","Rubulavirus","Paramyxoviridae",1,"(-)ssRNA",1960,"0","1","0","0","0","0","0","0","0","4b","1","narrow","1","0","0","0","0","0"
"Mammalian rubulavirus 5","Rubulavirus","Paramyxoviridae",1,"(-)ssRNA",1959,"0","1*","0","0","0","0","0","0","1*","2","0","broad","0","1","1","0","0","0"
"Mumps rubulavirus ","Rubulavirus","Paramyxoviridae",1,"(-)ssRNA",1934,"0","0","0","0","0","0","0","1","1","4b","1","narrow","1","0","0","0","0","0"
"Simian rubulavirus","Rubulavirus","Paramyxoviridae",1,"(-)ssRNA",1968,"0","1*","0","0","0","0","0","0","1*","2","0","unknown","?","?","?","?","?","?"
"Sosuga rubulavirus","Rubulavirus","Paramyxoviridae",1,"(-)ssRNA",2014,"0","1*","0","0","0","0","0","0","1*","2","0","narrow","0","0","1","0","0","0"
"Tioman rubulavirus","Rubulavirus","Paramyxoviridae",1,"(-)ssRNA",2007,"0","1","0","0","0","0","0","0","1","2","0","broad","0","0","1","0","0","0"
"Candiru phlebovirus","Phlebovirus","Phenuviridae",1,"(-)ssRNA",1983,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","1","0","0","0"
"Punta Toro phlebovirus ","Phlebovirus","Phenuviridae",1,"(-)ssRNA",1970,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","1","0","0","0"
"Rift Valley fever phlebovirus ","Phlebovirus","Phenuviridae",1,"(-)ssRNA",1931,"1","1","0","0","0","0","1","0","1","3","1","broad","0","0","1","0","0","0"
"Sandfly fever Naples phlebovirus ","Phlebovirus","Phenuviridae",1,"(-)ssRNA",1944,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","1","0","0","0"
"SFTS phlebovirus","Phlebovirus","Phenuviridae",1,"(-)ssRNA",2012,"1","0","0","0","1","0","0","0","1","3","1","broad","0","0","1","1","0","0"
"Uukuniemi phlebovirus","Phlebovirus","Phenuviridae",1,"(-)ssRNA",1970,"1","0","0","0","0","0","0","0","0","2","0","broad","0","0","1","1","0","0"
"Primate T-lymphotropic virus 1 ","Deltaretrovirus","Retroviridae",1,"ssRNA-RT",1980,"0","0","0","1","0","0","0","1","1","4a","1","narrow","0","1","0","0","0","0"
"Primate T-lymphotropic virus 2 ","Deltaretrovirus","Retroviridae",1,"ssRNA-RT",1982,"0","0","0","1","0","0","0","1","1","4a","1","narrow","0","1","0","0","0","0"
"Primate T-lymphotropic virus 3","Deltaretrovirus","Retroviridae",1,"ssRNA-RT",2005,"0","0","0","1","0","0","0","1","1","4a","1","narrow","0","1","0","0","0","0"
"Human immunodeficiency virus 1 ","Lentivirus","Retroviridae",1,"ssRNA-RT",1983,"0","0","0","1","1","0","1","1","1","4b","1","narrow","1","0","0","0","0","0"
"Human immunodeficiency virus 2 ","Lentivirus","Retroviridae",1,"ssRNA-RT",1986,"0","0","0","1","1","0","1","1","1","4b","1","narrow","1","0","0","0","0","0"
"Simian immunodeficiency virus","Lentivirus","Retroviridae",1,"ssRNA-RT",1992,"0","0","0","0","1","0","1","0","1","2","0","narrow","0","1","0","0","0","0"
"African green monkey simian foamy virus","Spumavirus","Retroviridae",1,"ssRNA-RT",1997,"0","0","0","0","0","0","1","0","1","2","0","narrow","0","1","0","0","0","0"
"Macaque simian foamy virus","Spumavirus","Retroviridae",1,"ssRNA-RT",2002,"0","0","0","0","0","0","1","0","1","2","0","narrow","0","1","0","0","0","0"
"Simian foamy virus","Spumavirus","Retroviridae",1,"ssRNA-RT",1971,"0","0","0","0","0","0","1","0","1","2","0","narrow","0","1","0","0","0","0"
